"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"1","1","1",1,1,1,1,"1","1","1",0,0,0
"2016-11-11 22:41:42","80.66.18.21","25.0.19.44",28530,126,4.45986327414347e-09,331,"TCP 80.66.18.21:28530->25.0.19.44:126","TCP","bad",1,0.000144571345959231,1.02974335989945e-09
"2016-11-11 22:41:42","80.66.18.21","25.0.19.44",28530,126,4.45986327414347e-09,331,"TCP 80.66.18.21:28530->25.0.19.44:126","TCP","bad",2,0.000289142691918462,1.02660389843634e-09
"2016-11-11 22:55:17","80.66.17.62","25.0.19.72",63618,514,4.45986327414347e-09,332,"UDP 80.66.17.62:63618->25.0.19.72:514","UDP","bad",3,0.000433714037877693,1.02660389843634e-09
"2016-11-11 22:55:17","80.66.17.62","25.0.19.72",63618,514,4.45986327414347e-09,332,"UDP 80.66.17.62:63618->25.0.19.72:514","UDP","bad",4,0.000578285383836924,1.02346443697323e-09
"2016-11-11 22:38:24","12.166.7.147","25.0.19.14",47932,69,4.45986327414347e-09,333,"UDP 12.166.7.147:47932->25.0.19.14:69","UDP","bad",5,0.000722856729796154,1.02346443697323e-09
"2016-11-11 22:38:24","12.166.7.147","25.0.19.14",47932,69,4.45986327414347e-09,333,"UDP 12.166.7.147:47932->25.0.19.14:69","UDP","bad",6,0.000867428075755385,1.02032497551013e-09
"2016-11-11 22:54:57","80.66.19.134","25.0.18.140",48468,548,4.45986327414347e-09,334,"TCP 80.66.19.134:48468->25.0.18.140:548","TCP","bad",7,0.00101199942171462,1.02032497551013e-09
"2016-11-11 22:54:57","80.66.19.134","25.0.18.140",48468,548,4.45986327414347e-09,334,"TCP 80.66.19.134:48468->25.0.18.140:548","TCP","bad",8,0.00115657076767385,1.01718551404702e-09
"2016-11-11 22:41:58","80.66.16.195","25.0.18.162",18853,514,4.45986327414347e-09,335,"UDP 80.66.16.195:18853->25.0.18.162:514","UDP","bad",9,0.00130114211363308,1.01718551404702e-09
"2016-11-11 22:41:58","80.66.16.195","25.0.18.162",18853,514,4.45986327414347e-09,335,"UDP 80.66.16.195:18853->25.0.18.162:514","UDP","bad",10,0.00144571345959231,1.01404605258391e-09
"2016-11-11 22:50:38","122.52.247.114","25.0.17.247",45554,389,6.91680031192440e-09,461,"TCP 122.52.247.114:45554->25.0.17.247:389","TCP","bad",11,0.00159028480555154,1.40647873547242e-09
"2016-11-11 22:50:38","122.52.247.114","25.0.17.247",45554,389,6.91680031192440e-09,461,"TCP 122.52.247.114:45554->25.0.17.247:389","TCP","bad",12,0.00173485615151077,1.40333927400931e-09
"2016-11-11 22:40:16","80.66.15.35","25.0.19.45",54378,69,7.31005505421507e-09,492,"TCP 80.66.15.35:54378->25.0.19.45:69","TCP","bad",13,0.00187942749747,1.49752311790255e-09
"2016-11-11 22:40:16","80.66.15.35","25.0.19.45",54378,69,7.31005505421507e-09,492,"TCP 80.66.15.35:54378->25.0.19.45:69","TCP","bad",14,0.00202399884342923,1.49438365643944e-09
"2016-11-11 22:54:04","213.184.22.197","25.0.18.78",4388,135,7.31147778193207e-09,493,"TCP 213.184.22.197:4388->25.0.18.78:135","TCP","bad",15,0.00216857018938846,1.49438365643944e-09
"2016-11-11 22:54:04","213.184.22.197","25.0.18.78",4388,135,7.31147778193207e-09,493,"TCP 213.184.22.197:4388->25.0.18.78:135","TCP","bad",16,0.00231314153534769,1.49124419497634e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.72006518438194e-09,520,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",17,0.00245771288130692,1.57287019301715e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.72006518438194e-09,520,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",18,0.00260228422726616,1.56973073155404e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.72006518438194e-09,520,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",19,0.00274685557322539,1.56659127009093e-09
"2016-11-11 13:37:08","122.52.144.90","25.0.11.213",5458,80,7.72006518438194e-09,520,"TCP 122.52.144.90:5458->25.0.11.213:80","TCP","bad",20,0.00289142691918462,1.56345180862782e-09
"2016-11-11 22:50:48","122.52.240.108","25.0.18.128",27581,445,7.72113395045863e-09,521,"TCP 122.52.240.108:27581->25.0.18.128:445","TCP","bad",21,0.00303599826514385,1.56345180862782e-09
"2016-11-11 22:50:48","122.52.240.108","25.0.18.128",27581,445,7.72113395045863e-09,521,"TCP 122.52.240.108:27581->25.0.18.128:445","TCP","bad",22,0.00318056961110308,1.56031234716471e-09
"2016-11-11 22:35:46","122.52.252.246","25.0.18.166",38085,21,7.7211584267025e-09,522,"TCP 122.52.252.246:38085->25.0.18.166:21","TCP","bad",23,0.00332514095706231,1.56031234716471e-09
"2016-11-11 22:35:46","122.52.252.246","25.0.18.166",38085,21,7.7211584267025e-09,522,"TCP 122.52.252.246:38085->25.0.18.166:21","TCP","bad",24,0.00346971230302154,1.55717288570161e-09
"2016-11-11 22:52:15","122.52.235.65","25.0.19.29",13721,631,7.72117038191040e-09,525,"TCP 122.52.235.65:13721->25.0.19.29:631","TCP","bad",25,0.00361428364898077,1.56345180862782e-09
"2016-11-11 22:52:15","122.52.235.65","25.0.19.29",13721,631,7.72117038191040e-09,525,"TCP 122.52.235.65:13721->25.0.19.29:631","TCP","bad",26,0.00375885499494,1.56031234716471e-09
"2016-11-11 22:48:49","122.52.231.19","25.0.17.154",41595,808,7.72117038867638e-09,526,"TCP 122.52.231.19:41595->25.0.17.154:808","TCP","bad",27,0.00390342634089923,1.56031234716471e-09
"2016-11-11 22:48:49","122.52.231.19","25.0.17.154",41595,808,7.72117038867638e-09,526,"TCP 122.52.231.19:41595->25.0.17.154:808","TCP","bad",28,0.00404799768685846,1.55717288570161e-09
"2016-11-11 22:51:49","122.52.236.28","25.0.18.211",21242,69,7.72117038867638e-09,527,"UDP 122.52.236.28:21242->25.0.18.211:69","UDP","bad",29,0.0041925690328177,1.55717288570161e-09
"2016-11-11 22:51:49","122.52.236.28","25.0.18.211",21242,69,7.72117038867638e-09,527,"UDP 122.52.236.28:21242->25.0.18.211:69","UDP","bad",30,0.00433714037877693,1.5540334242385e-09
"2016-11-11 22:37:58","122.52.239.142","25.0.19.70",55320,443,7.72117038867638e-09,528,"TCP 122.52.239.142:55320->25.0.19.70:443","TCP","bad",31,0.00448171172473616,1.5540334242385e-09
"2016-11-11 22:37:58","122.52.239.142","25.0.19.70",55320,443,7.72117038867638e-09,528,"TCP 122.52.239.142:55320->25.0.19.70:443","TCP","bad",32,0.00462628307069539,1.55089396277539e-09
"2016-11-11 22:40:09","122.52.239.168","25.0.18.68",12496,389,7.72117038867638e-09,529,"TCP 122.52.239.168:12496->25.0.18.68:389","TCP","bad",33,0.00477085441665462,1.55089396277539e-09
"2016-11-11 22:40:09","122.52.239.168","25.0.18.68",12496,389,7.72117038867638e-09,529,"TCP 122.52.239.168:12496->25.0.18.68:389","TCP","bad",34,0.00491542576261385,1.54775450131228e-09
"2016-11-11 22:54:25","122.52.233.168","25.0.18.43",25624,143,7.72117038867638e-09,532,"TCP 122.52.233.168:25624->25.0.18.43:143","TCP","bad",35,0.00505999710857308,1.5540334242385e-09
"2016-11-11 22:54:25","122.52.233.168","25.0.18.43",25624,143,7.72117038867638e-09,532,"TCP 122.52.233.168:25624->25.0.18.43:143","TCP","bad",36,0.00520456845453231,1.55089396277539e-09
